Player,Nation,Squad,Age,90s,SCA,SCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,GCA,GCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,Position 1,Position 2
Max Aarons,ENG,Bournemouth,"23 years,  days",13.7,23,1.68,16.0,4.0,0.0,0.0,3.0,0.0,2,0.15,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Joshua Acheampong,ENG,Chelsea,"17 years,  days",0.1,1,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Tyler Adams,USA,Bournemouth,"24 years,  days",1.3,3,2.25,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Tosin Adarabioyo,ENG,Fulham,"25 years,  days",18.0,10,0.56,6.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Elijah Adebayo,ENG,Luton Town,"25 years,  days",15.8,31,1.97,19.0,0.0,5.0,5.0,2.0,0.0,5,0.32,2.0,0.0,0.0,3.0,0.0,0.0,Forward,
Simon Adingra,CIV,Brighton,"21 years,  days",24.7,77,3.12,51.0,1.0,13.0,7.0,3.0,2.0,4,0.16,3.0,0.0,0.0,0.0,0.0,1.0,Forward,
Nayef Aguerd,MAR,West Ham,"27 years,  days",20.6,14,0.68,12.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Brandon Aguilera,CRC,Nottingham Forest,"20 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Naouirou Ahamada,FRA,Crystal Palace,"21 years,  days",3.9,9,2.3,9.0,0.0,0.0,0.0,0.0,0.0,3,0.77,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Anel Ahmedhodžić,BIH,Sheffield Utd,"24 years,  days",29.4,26,0.88,23.0,0.0,0.0,3.0,0.0,0.0,1,0.03,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
