Player,Nation,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Position 1,Position 2
Max Aarons,ENG,Bournemouth,eng Premier League,23 years,13.7,29.0,19,20,7,2,20.0,34,58.8,14,9,5,4,8,37,27,0,Defender,
Brenden Aaronson,USA,Union Berlin,de Bundesliga,22 years,14.1,32.0,18,13,13,6,16.0,32,50.0,16,26,1,25,2,34,4,0,Midfielder,Forward
Paxten Aaronson,USA,Eintracht Frankfurt,de Bundesliga,19 years,1.1,2.0,2,1,1,0,1.0,1,100.0,0,2,0,2,0,2,0,0,Midfielder,
Keyliane Abdallah,FRA,Marseille,fr Ligue 1,17 years,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Forward,
Yunis Abdelhamid,MAR,Reims,fr Ligue 1,35 years,30.9,64.0,35,36,23,5,26.0,45,57.8,19,51,32,19,39,103,109,2,Defender,
Salis Abdul Samed,GHA,Lens,fr Ligue 1,23 years,16.9,21.0,14,8,10,3,8.0,18,44.4,10,12,1,11,12,33,18,0,Midfielder,
Nabil Aberdin,FRA,Getafe,es La Liga,20 years,2.0,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,4,0,Defender,
Laurent Abergel,FRA,Lorient,fr Ligue 1,30 years,31.8,85.0,52,43,34,8,38.0,96,39.6,58,29,6,23,61,146,61,3,Midfielder,
Matthis Abline,FRA,Nantes,fr Ligue 1,20 years,11.6,9.0,4,4,3,2,3.0,8,37.5,5,3,0,3,3,12,5,0,Forward,
Abner,BRA,Betis,es La Liga,23 years,15.6,25.0,19,15,9,1,17.0,34,50.0,17,23,5,18,15,40,62,0,Defender,
Zakaria Aboukhlal,MAR,Toulouse,fr Ligue 1,23 years,8.4,9.0,8,1,5,3,3.0,12,25.0,9,9,1,8,1,10,2,0,Midfielder,Forward
Abdel Abqar,MAR,Alavés,es La Liga,24 years,25.7,35.0,19,28,5,2,21.0,35,60.0,14,31,26,5,23,58,115,0,Defender,
Tammy Abraham,ENG,Roma,it Serie A,25 years,2.7,3.0,1,0,1,2,0.0,0,,0,1,0,1,0,3,4,0,Forward,
Francesco Acerbi,ITA,Inter,it Serie A,35 years,26.5,22.0,13,16,6,0,11.0,14,78.6,3,20,13,7,32,54,77,1,Defender,
Joshua Acheampong,ENG,Chelsea,eng Premier League,17 years,0.1,0.0,0,0,0,0,0.0,0,,0,3,3,0,0,0,0,0,Defender,
Marcos Acuña,ARG,Sevilla,es La Liga,31 years,14.4,33.0,21,20,12,1,9.0,14,64.3,5,12,2,10,4,37,25,0,Defender,
Akor Adams,NGA,Montpellier,fr Ligue 1,23 years,25.0,12.0,4,3,4,5,3.0,7,42.9,4,9,2,7,5,17,11,0,Forward,
Tyler Adams,USA,Bournemouth,eng Premier League,24 years,1.3,4.0,3,1,3,0,2.0,3,66.7,1,2,0,2,4,8,2,0,Midfielder,
Junior Adamu,AUT,Freiburg,de Bundesliga,22 years,1.2,5.0,1,1,2,2,1.0,2,50.0,1,1,0,1,0,5,2,0,Forward,Midfielder
Sargis Adamyan,ARM,Köln,de Bundesliga,30 years,8.9,14.0,9,2,9,3,6.0,11,54.5,5,16,1,15,5,19,7,0,Forward,Midfielder
Tosin Adarabioyo,ENG,Fulham,eng Premier League,25 years,18.0,21.0,11,16,5,0,12.0,21,57.1,9,16,11,5,25,46,80,0,Defender,
Elijah Adebayo,ENG,Luton Town,eng Premier League,25 years,15.8,4.0,1,1,0,3,1.0,12,8.3,11,13,2,11,6,10,25,0,Forward,
Karim Adeyemi,GER,Dortmund,de Bundesliga,21 years,10.1,16.0,14,9,4,3,8.0,20,40.0,12,11,0,11,3,19,5,0,Forward,Midfielder
Simon Adingra,CIV,Brighton,eng Premier League,21 years,24.7,45.0,20,23,11,11,19.0,42,45.2,23,31,1,30,19,64,22,0,Forward,
Nathaniel Adjei,GHA,Lorient,fr Ligue 1,20 years,13.8,13.0,9,8,3,2,6.0,7,85.7,1,15,8,7,18,31,64,1,Defender,
Amine Adli,MAR,Leverkusen,de Bundesliga,23 years,10.0,16.0,7,2,10,4,7.0,17,41.2,10,10,2,8,6,22,5,0,Midfielder,Forward
Yacine Adli,FRA,Milan,it Serie A,23 years,15.6,34.0,17,17,13,4,13.0,35,37.1,22,22,8,14,20,54,15,1,Midfielder,
Adryelson,BRA,Lyon,fr Ligue 1,25 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,1,1,3,0,Defender,Forward
Adson,BRA,Nantes,fr Ligue 1,22 years,2.6,7.0,6,1,6,0,2.0,2,100.0,0,5,0,5,2,9,2,0,Midfielder,Forward
