Player,Nation,Squad,Comp,Age,90s,SCA,SCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,GCA,GCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,Position 1,Position 2
Max Aarons,ENG,Bournemouth,eng Premier League,23 years,13.7,23,1.68,16.0,4.0,0.0,0.0,3.0,0.0,2,0.15,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Brenden Aaronson,USA,Union Berlin,de Bundesliga,22 years,14.1,53,3.76,41.0,1.0,8.0,3.0,0.0,0.0,8,0.57,6.0,0.0,2.0,0.0,0.0,0.0,Midfielder,Forward
Paxten Aaronson,USA,Eintracht Frankfurt,de Bundesliga,19 years,1.1,1,0.89,1.0,0.0,0.0,0.0,0.0,0.0,1,0.89,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Keyliane Abdallah,FRA,Marseille,fr Ligue 1,17 years,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Yunis Abdelhamid,MAR,Reims,fr Ligue 1,35 years,30.9,24,0.78,19.0,1.0,0.0,3.0,1.0,0.0,1,0.03,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Salis Abdul Samed,GHA,Lens,fr Ligue 1,23 years,16.9,27,1.6,27.0,0.0,0.0,0.0,0.0,0.0,3,0.18,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Nabil Aberdin,FRA,Getafe,es La Liga,20 years,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Laurent Abergel,FRA,Lorient,fr Ligue 1,30 years,31.8,81,2.55,67.0,3.0,2.0,1.0,2.0,6.0,5,0.16,3.0,0.0,1.0,0.0,0.0,1.0,Midfielder,
Matthis Abline,FRA,Nantes,fr Ligue 1,20 years,11.6,38,3.28,30.0,0.0,5.0,2.0,1.0,0.0,2,0.17,0.0,0.0,1.0,0.0,1.0,0.0,Forward,
Abner,BRA,Betis,es La Liga,23 years,15.6,14,0.9,13.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Zakaria Aboukhlal,MAR,Toulouse,fr Ligue 1,23 years,8.4,20,2.39,10.0,0.0,2.0,3.0,3.0,2.0,2,0.24,0.0,0.0,0.0,1.0,1.0,0.0,Midfielder,Forward
Abdel Abqar,MAR,Alavés,es La Liga,24 years,25.7,12,0.47,9.0,0.0,0.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Tammy Abraham,ENG,Roma,it Serie A,25 years,2.7,3,1.12,1.0,0.0,0.0,0.0,1.0,1.0,1,0.37,0.0,0.0,0.0,0.0,1.0,0.0,Forward,
Francesco Acerbi,ITA,Inter,it Serie A,35 years,26.5,22,0.83,19.0,0.0,0.0,3.0,0.0,0.0,1,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Joshua Acheampong,ENG,Chelsea,eng Premier League,17 years,0.1,1,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Marcos Acuña,ARG,Sevilla,es La Liga,31 years,14.4,49,3.42,28.0,15.0,3.0,0.0,2.0,1.0,4,0.28,1.0,3.0,0.0,0.0,0.0,0.0,Defender,
Akor Adams,NGA,Montpellier,fr Ligue 1,23 years,25.0,43,1.72,29.0,0.0,5.0,8.0,1.0,0.0,3,0.12,0.0,0.0,2.0,1.0,0.0,0.0,Forward,
Tyler Adams,USA,Bournemouth,eng Premier League,24 years,1.3,3,2.25,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Junior Adamu,AUT,Freiburg,de Bundesliga,22 years,1.2,2,1.73,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Sargis Adamyan,ARM,Köln,de Bundesliga,30 years,8.9,31,3.48,22.0,0.0,1.0,1.0,6.0,1.0,3,0.34,1.0,0.0,0.0,1.0,1.0,0.0,Forward,Midfielder
Tosin Adarabioyo,ENG,Fulham,eng Premier League,25 years,18.0,10,0.56,6.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Elijah Adebayo,ENG,Luton Town,eng Premier League,25 years,15.8,31,1.97,19.0,0.0,5.0,5.0,2.0,0.0,5,0.32,2.0,0.0,0.0,3.0,0.0,0.0,Forward,
Karim Adeyemi,GER,Dortmund,de Bundesliga,21 years,10.1,25,2.46,13.0,1.0,3.0,2.0,6.0,0.0,2,0.2,2.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Simon Adingra,CIV,Brighton,eng Premier League,21 years,24.7,77,3.12,51.0,1.0,13.0,7.0,3.0,2.0,4,0.16,3.0,0.0,0.0,0.0,0.0,1.0,Forward,
Nathaniel Adjei,GHA,Lorient,fr Ligue 1,20 years,13.8,11,0.8,8.0,0.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Amine Adli,MAR,Leverkusen,de Bundesliga,23 years,10.0,52,5.22,39.0,0.0,6.0,3.0,4.0,0.0,9,0.9,5.0,0.0,2.0,1.0,1.0,0.0,Midfielder,Forward
Yacine Adli,FRA,Milan,it Serie A,23 years,15.6,62,3.97,41.0,18.0,3.0,0.0,0.0,0.0,8,0.51,4.0,3.0,1.0,0.0,0.0,0.0,Midfielder,
Adryelson,BRA,Lyon,fr Ligue 1,25 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
Adson,BRA,Nantes,fr Ligue 1,22 years,2.6,9,3.4,8.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Michel Aebischer,SUI,Bologna,it Serie A,26 years,24.8,40,1.61,32.0,2.0,2.0,2.0,2.0,0.0,1,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Emmanuel Agbadou,CIV,Reims,fr Ligue 1,26 years,28.8,47,1.63,43.0,0.0,0.0,4.0,0.0,0.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Julen Agirrezabala,ESP,Athletic Club,es La Liga,22 years,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Lucien Agoume,FRA,Inter,it Serie A,21 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Lucien Agoume,FRA,Sevilla,es La Liga,21 years,8.6,21,2.43,19.0,0.0,2.0,0.0,0.0,0.0,1,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Felix Agu,GER,Werder Bremen,de Bundesliga,23 years,17.9,24,1.34,16.0,1.0,0.0,0.0,7.0,0.0,3,0.17,0.0,0.0,0.0,0.0,3.0,0.0,Defender,Midfielder
