Player,Nation,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Straight,Cmp,Off,Blocks,Position 1,Position 2
Max Aarons,ENG,Bournemouth,eng Premier League,23 years,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,Defender,
Brenden Aaronson,USA,Union Berlin,de Bundesliga,22 years,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21,Midfielder,Forward
Paxten Aaronson,USA,Eintracht Frankfurt,de Bundesliga,19 years,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0,Midfielder,
Keyliane Abdallah,FRA,Marseille,fr Ligue 1,17 years,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Forward,
Yunis Abdelhamid,MAR,Reims,fr Ligue 1,35 years,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20,Defender,
Salis Abdul Samed,GHA,Lens,fr Ligue 1,23 years,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17,Midfielder,
Nabil Aberdin,FRA,Getafe,es La Liga,20 years,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,Defender,
Laurent Abergel,FRA,Lorient,fr Ligue 1,30 years,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25,Midfielder,
Matthis Abline,FRA,Nantes,fr Ligue 1,20 years,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11,Forward,
Abner,BRA,Betis,es La Liga,23 years,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,Defender,
Zakaria Aboukhlal,MAR,Toulouse,fr Ligue 1,23 years,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7,Midfielder,Forward
Abdel Abqar,MAR,Alavés,es La Liga,24 years,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,Defender,
Tammy Abraham,ENG,Roma,it Serie A,25 years,2.7,40,37,2,0,0,0,2,0,0,0,0,0,19,1,1,Forward,
Francesco Acerbi,ITA,Inter,it Serie A,35 years,26.5,1781,1719,60,43,0,11,9,8,0,0,0,0,1615,2,5,Defender,
Joshua Acheampong,ENG,Chelsea,eng Premier League,17 years,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Defender,
Marcos Acuña,ARG,Sevilla,es La Liga,31 years,14.4,847,672,173,32,1,11,82,122,19,7,12,0,628,2,16,Defender,
Akor Adams,NGA,Montpellier,fr Ligue 1,23 years,25.0,385,375,10,0,2,1,12,1,0,0,0,0,250,0,20,Forward,
Tyler Adams,USA,Bournemouth,eng Premier League,24 years,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,Midfielder,
