Player,Nation,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Position 1,Position 2
Max Aarons,ENG,Bournemouth,eng Premier League,23 years,13.7,0,2,0,0.0,0.15,0.0,0.0,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Defender,
Brenden Aaronson,USA,Union Berlin,de Bundesliga,22 years,14.1,2,18,7,38.9,1.28,0.5,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0,Midfielder,Forward
Paxten Aaronson,USA,Eintracht Frankfurt,de Bundesliga,19 years,1.1,0,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Midfielder,
Keyliane Abdallah,FRA,Marseille,fr Ligue 1,17 years,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Yunis Abdelhamid,MAR,Reims,fr Ligue 1,35 years,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,0.6,0.4,Defender,
Salis Abdul Samed,GHA,Lens,fr Ligue 1,23 years,16.9,0,5,0,0.0,0.3,0.0,0.0,,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Midfielder,
Nabil Aberdin,FRA,Getafe,es La Liga,20 years,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Laurent Abergel,FRA,Lorient,fr Ligue 1,30 years,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,0.9,0.9,Midfielder,
Matthis Abline,FRA,Nantes,fr Ligue 1,20 years,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,1.2,1.2,Forward,
Abner,BRA,Betis,es La Liga,23 years,15.6,0,4,0,0.0,0.26,0.0,0.0,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Defender,
Zakaria Aboukhlal,MAR,Toulouse,fr Ligue 1,23 years,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,0.2,0.0,Midfielder,Forward
Abdel Abqar,MAR,Alavés,es La Liga,24 years,25.7,0,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Defender,
Tammy Abraham,ENG,Roma,it Serie A,25 years,2.7,1,4,2,50.0,1.49,0.74,0.25,0.5,11.9,0,0,0,0.6,0.6,0.15,0.4,0.4,Forward,
Francesco Acerbi,ITA,Inter,it Serie A,35 years,26.5,3,15,6,40.0,0.57,0.23,0.2,0.5,12.0,0,0,0,1.6,1.6,0.11,1.4,1.4,Defender,
Joshua Acheampong,ENG,Chelsea,eng Premier League,17 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,
Marcos Acuña,ARG,Sevilla,es La Liga,31 years,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0.3,0.3,0.03,0.7,0.7,Defender,
Akor Adams,NGA,Montpellier,fr Ligue 1,23 years,25.0,8,79,32,40.5,3.16,1.28,0.1,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4,Forward,
Tyler Adams,USA,Bournemouth,eng Premier League,24 years,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Junior Adamu,AUT,Freiburg,de Bundesliga,22 years,1.2,0,2,1,50.0,1.71,0.86,0.0,0.0,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Forward,Midfielder
Sargis Adamyan,ARM,Köln,de Bundesliga,30 years,8.9,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,4.1,4.1,0.13,-3.1,-3.1,Forward,Midfielder
Tosin Adarabioyo,ENG,Fulham,eng Premier League,25 years,18.0,2,14,5,35.7,0.78,0.28,0.14,0.4,14.2,0,0,0,0.7,0.7,0.05,1.3,1.3,Defender,
Elijah Adebayo,ENG,Luton Town,eng Premier League,25 years,15.8,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,4.1,4.1,Forward,
Karim Adeyemi,GER,Dortmund,de Bundesliga,21 years,10.1,3,23,10,43.5,2.27,0.99,0.13,0.3,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5,Forward,Midfielder
Simon Adingra,CIV,Brighton,eng Premier League,21 years,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,1.7,1.7,Forward,
Nathaniel Adjei,GHA,Lorient,fr Ligue 1,20 years,13.8,0,4,0,0.0,0.29,0.0,0.0,,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Defender,
Amine Adli,MAR,Leverkusen,de Bundesliga,23 years,10.0,4,27,15,55.6,2.71,1.5,0.15,0.27,13.7,0,0,0,3.3,3.3,0.12,0.7,0.7,Midfielder,Forward
Yacine Adli,FRA,Milan,it Serie A,23 years,15.6,1,4,1,25.0,0.26,0.06,0.25,1.0,19.8,0,0,0,0.3,0.3,0.07,0.7,0.7,Midfielder,
Adryelson,BRA,Lyon,fr Ligue 1,25 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Defender,Forward
Adson,BRA,Nantes,fr Ligue 1,22 years,2.6,0,5,0,0.0,1.89,0.0,0.0,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Midfielder,Forward
Michel Aebischer,SUI,Bologna,it Serie A,26 years,24.8,0,18,5,27.8,0.73,0.2,0.0,0.0,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Midfielder,
Emmanuel Agbadou,CIV,Reims,fr Ligue 1,26 years,28.8,1,32,5,15.6,1.11,0.17,0.03,0.2,15.1,0,0,0,2.4,2.4,0.07,-1.4,-1.4,Defender,
Julen Agirrezabala,ESP,Athletic Club,es La Liga,22 years,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Goalkeeper,
Lucien Agoume,FRA,Inter,it Serie A,21 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Lucien Agoume,FRA,Sevilla,es La Liga,21 years,8.6,0,6,2,33.3,0.69,0.23,0.0,0.0,13.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Midfielder,
Felix Agu,GER,Werder Bremen,de Bundesliga,23 years,17.9,0,11,0,0.0,0.61,0.0,0.0,,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Defender,Midfielder
Nayef Aguerd,MAR,West Ham,eng Premier League,27 years,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Defender,
Ruben Aguilar,FRA,Lens,fr Ligue 1,30 years,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,16.1,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Defender,
Brandon Aguilera,CRC,Nottingham Forest,eng Premier League,20 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Naouirou Ahamada,FRA,Crystal Palace,eng Premier League,21 years,3.9,0,9,2,22.2,2.32,0.52,0.0,0.0,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Midfielder,Forward
Anel Ahmedhodžić,BIH,Sheffield Utd,eng Premier League,24 years,29.4,2,19,5,26.3,0.65,0.17,0.11,0.4,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,Defender,
Joseph Aidoo,GHA,Celta Vigo,es La Liga,27 years,4.5,0,3,0,0.0,0.66,0.0,0.0,,15.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Defender,
Ola Aina,NGA,Nottingham Forest,eng Premier League,26 years,18.8,1,11,1,9.1,0.59,0.05,0.09,1.0,26.6,0,0,0,0.3,0.3,0.02,0.7,0.7,Defender,
Rayan Aït-Nouri,ALG,Wolves,eng Premier League,22 years,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,Defender,Midfielder
Tosin Aiyegun,BEN,Lorient,fr Ligue 1,25 years,10.0,2,11,3,27.3,1.1,0.3,0.18,0.67,22.7,0,0,0,1.8,1.8,0.17,0.2,0.2,Midfielder,Forward
Kristoffer Ajer,NOR,Brentford,eng Premier League,25 years,20.4,2,12,4,33.3,0.59,0.2,0.17,0.5,9.9,0,0,0,1.3,1.3,0.11,0.7,0.7,Defender,
Ludovic Ajorque,FRA,Mainz 05,de Bundesliga,29 years,15.1,2,27,6,22.2,1.79,0.4,0.07,0.33,13.1,0,0,2,5.3,3.7,0.14,-3.3,-1.7,Forward,
Manuel Akanji,SUI,Manchester City,eng Premier League,28 years,27.9,2,15,5,33.3,0.54,0.18,0.13,0.4,17.0,0,0,0,1.9,1.9,0.13,0.1,0.1,Defender,Midfielder
Marley Aké,FRA,Udinese,it Serie A,22 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Nathan Aké,NED,Manchester City,eng Premier League,28 years,22.7,2,20,5,25.0,0.88,0.22,0.1,0.4,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5,Defender,
Ilias Akhomach,MAR,Villarreal,es La Liga,19 years,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,18.1,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Midfielder,Forward
Sergio Akieme,ESP,Almería,es La Liga,25 years,18.6,2,9,5,55.6,0.48,0.27,0.22,0.4,17.4,0,0,0,1.2,1.2,0.13,0.8,0.8,Defender,
Sergio Akieme,ESP,Reims,fr Ligue 1,25 years,9.1,2,11,2,18.2,1.21,0.22,0.18,1.0,18.3,0,0,0,1.4,1.4,0.13,0.6,0.6,Defender,
Ebenezer Akinsanmiro,NGA,Inter,it Serie A,18 years,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Maghnes Akliouche,FRA,Monaco,fr Ligue 1,21 years,17.9,7,36,22,61.1,2.01,1.23,0.19,0.32,15.7,1,0,0,5.4,5.4,0.15,1.6,1.6,Midfielder,Forward
Paul Akouokou,CIV,Betis,es La Liga,25 years,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Paul Akouokou,CIV,Lyon,fr Ligue 1,25 years,3.4,0,2,0,0.0,0.59,0.0,0.0,,15.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Midfielder,
Jean-Daniel Akpa-Akpro,CIV,Monza,it Serie A,30 years,7.8,0,7,3,42.9,0.89,0.38,0.0,0.0,26.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Midfielder,
David Akpan Ankeye,NGA,Genoa,it Serie A,21 years,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Forward,
Kevin Akpoguma,NGA,Hoffenheim,de Bundesliga,28 years,12.2,0,2,0,0.0,0.16,0.0,0.0,,6.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Defender,
David Alaba,AUT,Real Madrid,es La Liga,31 years,12.8,0,14,3,21.4,1.09,0.23,0.0,0.0,19.8,6,0,0,1.0,1.0,0.07,-1.0,-1.0,Defender,
Luis Alberto,ESP,Lazio,it Serie A,30 years,25.7,5,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4,0,0,4.7,4.7,0.08,0.3,0.3,Midfielder,
Raúl Albiol,ESP,Villarreal,es La Liga,37 years,22.6,0,6,1,16.7,0.27,0.04,0.0,0.0,9.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Defender,
Thiago Alcántara,ESP,Liverpool,eng Premier League,32 years,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Midfielder,
Carlos Alcaraz,ARG,Juventus,it Serie A,20 years,4.2,0,11,2,18.2,2.61,0.47,0.0,0.0,24.0,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Midfielder,
Rubén Alcaraz,ESP,Cádiz,es La Liga,32 years,34.8,3,46,10,21.7,1.32,0.29,0.02,0.1,24.9,8,2,2,3.3,1.7,0.04,-0.3,-0.7,Midfielder,
Omar Alderete,PAR,Getafe,es La Liga,26 years,24.4,0,24,5,20.8,0.98,0.21,0.0,0.0,19.7,3,0,0,1.2,1.2,0.05,-1.2,-1.2,Defender,
Iván Alejo,ESP,Cádiz,es La Liga,28 years,18.8,0,11,2,18.2,0.59,0.11,0.0,0.0,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Midfielder,
Carles Aleñá,ESP,Getafe,es La Liga,25 years,11.3,1,16,5,31.3,1.41,0.44,0.06,0.2,18.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Midfielder,
Trent Alexander-Arnold,ENG,Liverpool,eng Premier League,24 years,23.9,3,47,8,17.0,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,0.4,0.7,Defender,
Aboubacar Ali,COM,Strasbourg,fr Ligue 1,17 years,1.4,0,4,2,50.0,2.77,1.38,0.0,0.0,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Midfielder,Forward
Mohamed Ali Cho,FRA,Real Sociedad,es La Liga,19 years,2.8,0,3,0,0.0,1.08,0.0,0.0,,17.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Forward,Midfielder
Mohamed Ali Cho,FRA,Nice,fr Ligue 1,19 years,9.6,1,18,6,33.3,1.88,0.63,0.06,0.17,21.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Forward,
Faride Alidou,GER,Köln,de Bundesliga,22 years,14.2,4,33,11,33.3,2.32,0.77,0.12,0.36,14.5,0,0,0,3.0,3.0,0.09,1.0,1.0,Forward,Midfielder
