Rk,Player,Nation,Pos,Squad,Age,Born,90s,Raw CrdY,Raw CrdR,Raw 2CrdY,Raw Fls,Raw Fld,Raw Off,Raw Crs,Raw Int,Raw TklW,Raw PKwon,Raw PKcon,Raw OG,Raw Recov,Duels Won,Duels Lost,Duels Won%,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,18-348,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-172,1987,10.8,2,0,0,16,6,0,0,13,11,0,0,0,42,19,8,70.4,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,25-122,1999,24.7,3,0,0,38,30,2,37,19,25,0,0,0,137,12,18,40.0,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,26-046,1999,6.8,2,0,0,4,6,0,0,13,12,0,0,0,31,22,13,62.9,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,31-089,1993,10.5,1,0,0,16,9,2,26,11,16,0,0,0,45,13,10,56.5,Matches
6,Matthis Abline,fr FRA,FW,Nantes,21-356,2003,23.1,2,0,0,22,45,5,26,2,4,0,0,0,69,41,53,43.6,Matches
7,Abner,br BRA,DF,Lyon,24-296,2000,9.1,1,0,0,11,4,0,26,5,14,0,0,0,37,5,6,45.5,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,25-029,2000,20.3,4,0,0,34,23,10,31,6,11,2,0,0,56,21,38,35.6,Matches
9,Akor Adams,ng NGA,FW,Montpellier,25-049,2000,11.9,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9,Matches
10,Martin Adeline,fr FRA,MF,Reims,21-107,2003,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches
11,Adryelson,br BRA,DF,Lyon,26-361,1998,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-275,1997,14.0,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1,Matches
13,Jeremy Agbonifo,se SWE,"FW,MF",Lens,19-146,2005,2.1,0,0,0,7,3,2,3,1,3,0,0,0,7,0,5,0.0,Matches
14,Ruben Aguilar,fr FRA,"DF,MF",Lens,31-327,1993,7.8,2,0,0,11,10,3,26,12,16,0,0,0,51,9,10,47.4,Matches
15,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,22-355,2002,0.6,0,0,0,1,0,0,1,2,0,0,0,0,7,0,1,0.0,Matches
16,Jean-Eudes Aholou,ci CIV,MF,Angers,30-364,1994,19.5,7,0,0,43,21,1,2,33,32,0,0,0,95,32,22,59.3,Matches
17,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-267,2005,1.4,0,0,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0,Matches
18,Ludovic Ajorque,fr FRA,FW,Brest,31-022,1994,20.5,4,0,0,45,18,11,5,4,15,2,0,0,44,101,90,52.9,Matches
19,Ümit Akdag,ro ROU,DF,Toulouse,21-164,2003,4.8,2,0,0,8,0,0,1,11,2,0,0,0,21,16,5,76.2,Matches
20,Sergio Akieme,es ESP,DF,Reims,27-093,1997,20.5,4,0,0,19,14,0,63,13,19,0,0,0,83,14,19,42.4,Matches
21,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,23-022,2002,19.9,2,0,0,25,25,8,36,11,23,0,0,0,101,4,13,23.5,Matches
22,Clément Akpa,ci CIV,DF,Auxerre,23-115,2001,20.6,5,0,0,8,22,0,23,30,30,0,1,0,99,27,24,52.9,Matches
23,Chuba Akpom,eng ENG,"FW,MF",Lille,29-161,1995,3.5,0,0,0,4,8,1,1,0,1,0,0,0,6,7,5,58.3,Matches
24,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,21-059,2004,16.1,2,0,0,12,34,9,42,4,8,0,0,0,60,9,22,29.0,Matches
25,Jim Allevinah,ga GAB,FW,Angers,30-020,1995,15.5,3,0,0,14,22,7,26,10,9,1,0,0,66,10,17,37.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Thiago Almada,ar ARG,"FW,MF",Lyon,23-327,2001,4.1,1,0,0,3,2,1,15,1,1,0,0,0,21,0,1,0.0,Matches
27,Jordan Amavi,fr FRA,DF,Brest,31-010,1994,8.8,2,0,0,15,6,0,15,7,17,0,2,0,35,15,6,71.4,Matches
28,Kelvin Amian,fr FRA,DF,Nantes,27-039,1998,17.4,4,0,0,21,8,0,28,8,23,0,0,0,43,13,9,59.1,Matches
29,Michael Amir Murillo,pa PAN,DF,Marseille,29-036,1996,20.1,1,0,0,22,18,1,24,12,23,0,1,0,93,36,11,76.6,Matches
30,Samuel Amo-Ameyaw,eng ENG,DF,Strasbourg,18-244,2006,0.9,0,0,0,0,2,0,4,0,0,0,0,0,6,0,0,,Matches
31,Mathis Amougou,fr FRA,MF,Saint-Étienne,19-060,2006,9.5,2,0,0,6,8,0,1,12,15,0,0,0,37,3,12,20.0,Matches
32,Benjamin André,fr FRA,MF,Lille,34-228,1990,22.9,10,0,0,36,36,3,12,39,31,1,0,0,146,76,67,53.1,Matches
33,Dennis Appiah,fr FRA,DF,Saint-Étienne,32-283,1992,17.6,1,0,0,26,8,2,38,18,34,0,2,0,69,18,20,47.4,Matches
34,Carlens Arcus,ht HAI,DF,Angers,28-264,1996,18.1,2,0,0,28,13,1,43,24,24,0,0,0,64,26,17,60.5,Matches
35,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,21-343,2003,13.4,3,0,0,13,18,1,32,6,10,1,0,0,50,2,9,18.2,Matches
36,Marco Asensio,es ESP,"FW,MF",Paris S-G,29-057,1996,6.9,0,0,0,1,4,3,13,0,3,0,0,0,18,1,2,33.3,Matches
